n,City,Name,Latitude,Longitude,Lat,Lon
1,Djibouti,Land Subdivision,"11°33'52.83"" N","43°05'06.90"" E","11°33'48.78""N","43° 5'0.67""E"
2,Djibouti,Irregular settlement,"11°32'47.68"" N","43°05'15.63"" E","11°32'41.45""N","43° 5'5.93""E"
3,Libreville- Gabon,Land Subdivision,"0°25'19.98"" N","9°29'06.36"" E","0°25'13.62""N","9°28'58.60""E"
4,Libreville- Gabon,Irregular settlement,"0°26'05.50"" N","9°29'10.85"" E","0°26'1.32""N","9°29'5.79""E"
5,Maputo- Mozambique,Land Subdivision,"25°54'26.73"" S","32°25'36.63"" E","25°54'30.60""S","32°25'23.75""E"
6,Maputo- Mozambique,Irregular settlement,"25°54'31.71"" S","32°35'50.31"" E","25°54'36.10""S","32°35'39.17"""
7,Praia- Cabo Verde,Formal Land Subdivision,"14°57'26.29"" N","23°30'46.81"" W","14°57'18.68""N","23°30'56.95""W"
8,Praia- Cabo Verde,Saturated Irregular settlement,"14°55'49.84"" N","23°30'44.48"" W","14°55'42.36""N","23°30'53.55""W"
9,Bissau- Guinea Bissau,Irregular settlement,"11°53'06.17"" N","15°35'39.79"" W","11°53'3.16""N","15°35'48.81""W"
10,Juba- South Sudan,Land Subdivision,"4°52'32.13"" N","31°30'18.05"" E","4°52'29.04""N","31°30'7.07""E"
11,N’Djamena- Chad,Land Subdivision,"12°05'33.32"" N","15°00'29.14"" E","12°5'29.30""N","15°0'19.36""E"
12,Brazzaville- Republic of Congo,Land Subdivision,"4°17'49.68"" S","15°15'28.82"" E","4°17'51.25""S","15°15'23.08""E"
13,Houston- Texas,Land Subdivision,"30°01'36.66"" N","95°37'44.36"" W","30° 1'35.47""N","95°37'57.42""W"
14,Gaborone- Botswana,Land Subdivision,"24°33'32.62"" S","25°51'20.40"" E","24°33'35.45""S","25°51'8.52""E"
15,Maseru- Lesotho,Land Subdivision,"29°17'03.69"" S","27°31'24.52"" E","29°17'7.29""","27°31'15.13""E"
16,Maseru- Lesotho,Irregular settlement,"29°16'30.92"" S","27°34'01.96"" E","29°16'35.30""S","27°33'59.09""E"
17,Kumasi- Ghana,Informal subdivision,"6°44'02.59"" N","1°43'54.52"" W","6°44'1.61""N","1°44'9.71""W"
18,Kumasi- Ghana,Irregular settlement,"6°42'06.68"" N","1°47'49.34"" W","6°42'0.98""N","1°47'57.40""W"
19,Dakar- Senegal,Informal subdivision,"14°45'53.97"" N","17°13'24.99"" W","14°45'50.47""N","17°13'35.66""W"
20,Dakar- Senegal,Irregular settlement,"14°54'51.16"" N","17°07'02.01"" W","14°54'47.12""N","17° 7'12.83""W"
