Column1;Column2;Africa;Latam
m1_final;count;357,00;166,00
m1_final;mean;0,54;0,57
m1_final;std;0,27;0,27
m1_final;min;0,00;0,00
m1_final;25%;0,36;0,39
m1_final;50%;0,54;0,58
m1_final;75%;0,74;0,79
m1_final;max;1,00;1,00
m2_final;count;357,00;166,00
m2_final;mean;0,61;0,61
m2_final;std;0,30;0,30
m2_final;min;0,00;0,00
m2_final;25%;0,45;0,45
m2_final;50%;0,72;0,70
m2_final;75%;0,83;0,85
m2_final;max;1,00;0,99
m3_final;count;357,00;166,00
m3_final;mean;0,60;0,51
m3_final;std;0,34;0,31
m3_final;min;0,04;0,00
m3_final;25%;0,29;0,18
m3_final;50%;0,68;0,52
m3_final;75%;0,94;0,76
m3_final;max;1,00;1,00
m4_final;count;357,00;166,00
m4_final;mean;0,17;0,14
m4_final;std;0,18;0,15
m4_final;min;0,00;0,00
m4_final;25%;0,05;0,05
m4_final;50%;0,13;0,09
m4_final;75%;0,23;0,19
m4_final;max;0,90;1,00
m5_final;count;357,00;166,00
m5_final;mean;0,33;0,25
m5_final;std;0,29;0,25
m5_final;min;0,07;0,00
m5_final;25%;0,07;0,03
m5_final;50%;0,27;0,14
m5_final;75%;0,55;0,43
m5_final;max;1,00;0,86
m6_final;count;357,00;166,00
m6_final;mean;0,38;0,29
m6_final;std;0,26;0,23
m6_final;min;0,00;0,00
m6_final;25%;0,13;0,07
m6_final;50%;0,39;0,24
m6_final;75%;0,61;0,49
m6_final;max;1,00;0,83
m7_final;count;357,00;166,00
m7_final;mean;0,27;0,22
m7_final;std;0,28;0,28
m7_final;min;0,00;0,00
m7_final;25%;0,00;0,00
m7_final;50%;0,17;0,04
m7_final;75%;0,51;0,39
m7_final;max;0,92;0,94
m8_final;count;357,00;166,00
m8_final;mean;0,65;0,57
m8_final;std;0,28;0,28
m8_final;min;0,00;0,00
m8_final;25%;0,48;0,38
m8_final;50%;0,71;0,62
m8_final;75%;0,84;0,80
m8_final;max;1,00;1,00
m9_final;count;357,00;166,00
m9_final;mean;0,80;0,72
m9_final;std;0,28;0,26
m9_final;min;0,00;0,00
m9_final;25%;0,75;0,59
m9_final;50%;0,92;0,81
m9_final;75%;0,97;0,93
m9_final;max;1,00;0,99
k_complexity_final;count;357,00;166,00
k_complexity_final;mean;0,46;0,44
k_complexity_final;std;0,33;0,29
k_complexity_final;min;0,00;0,00
k_complexity_final;25%;0,11;0,20
k_complexity_final;50%;0,50;0,48
k_complexity_final;75%;0,74;0,67
k_complexity_final;max;1,00;1,00
