run_id,city,status,elapsed_s,host,output_type,error,log_s3
ils-20260115_035004-26dcd1d8,Aba__Nigeria,FAIL,0.0,ip-10-0-194-128,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Aba__Nigeria.log
ils-20260115_035004-26dcd1d8,Abacher__Chad,FAIL,0.0,ip-10-0-204-186,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Abacher__Chad.log
ils-20260115_035004-26dcd1d8,Abakaliki__Nigeria,FAIL,0.0,ip-10-0-196-206,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Abakaliki__Nigeria.log
ils-20260115_035004-26dcd1d8,Abengourou__Cote_d_Ivoire,FAIL,0.001,ip-10-0-196-206,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Abengourou__Cote_d_Ivoire.log
ils-20260115_035004-26dcd1d8,Abeokuta__Nigeria,FAIL,0.0,ip-10-0-196-172,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Abeokuta__Nigeria.log
ils-20260115_035004-26dcd1d8,Abidjan__Cote_d_Ivoire,FAIL,0.002,ip-10-0-207-134,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Abidjan__Cote_d_Ivoire.log
ils-20260115_035004-26dcd1d8,Abiriba__Nigeria,FAIL,0.0,ip-10-0-206-246,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Abiriba__Nigeria.log
ils-20260115_035004-26dcd1d8,Abuja__Nigeria,FAIL,0.0,ip-10-0-204-186,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Abuja__Nigeria.log
ils-20260115_035004-26dcd1d8,Acapulco__Mexico,FAIL,0.0,ip-10-0-207-134,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Acapulco__Mexico.log
ils-20260115_035004-26dcd1d8,Acarigua__Venezuela,FAIL,0.004,ip-10-0-194-199,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Acarigua__Venezuela.log
ils-20260115_035004-26dcd1d8,Accra__Ghana,FAIL,0.003,ip-10-0-194-128,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Accra__Ghana.log
ils-20260115_035004-26dcd1d8,Adama__Ethiopia,FAIL,0.004,ip-10-0-196-217,,name 'gather_data_city' is not defined,s3://wri-cities-sandbox/identifyingLandSubdivisions/data/input/city_info/search_buffers/_logs/ils-20260115_035004-26dcd1d8/Adama__Ethiopia.log
