run_id,city,status,elapsed_s,host,exists_roads,exists_intersections,exists_natural,error
ils-20260115_041620-80b3fcad,Aba__Nigeria,PARTIAL,73.187,ip-10-0-197-151,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Abacher__Chad,OK,118.848,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Abakaliki__Nigeria,OK,61.88,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Abengourou__Cote_d_Ivoire,PARTIAL,327.504,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Abeokuta__Nigeria,OK,196.399,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Abidjan__Cote_d_Ivoire,OK,1806.073,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Abiriba__Nigeria,PARTIAL,338.469,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Abuja__Nigeria,PARTIAL,356.171,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Acapulco__Mexico,OK,698.211,ip-10-0-207-26,True,True,True,
ils-20260115_041620-80b3fcad,Acarigua__Venezuela,OK,362.461,ip-10-0-199-206,True,True,True,
ils-20260115_041620-80b3fcad,Accra__Ghana,OK,3574.848,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Adama__Ethiopia,OK,59.614,ip-10-0-194-49,True,True,True,
ils-20260115_041620-80b3fcad,Addis_Ababa__Ethiopia,OK,3881.89,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Adigrat__Ethiopia,OK,30.007,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Ado_Ekiti__Nigeria,OK,132.432,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Ado__Nigeria,PARTIAL,327.496,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Adwa__Ethiopia,OK,86.028,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Agadez__Niger,PARTIAL,327.495,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Agbor__Nigeria,PARTIAL,327.53,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Ago_Iwoye__Nigeria,PARTIAL,9.934,ip-10-0-195-225,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Agona_Swedru__Ghana,OK,25.23,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Agua_Prieta__Mexico,OK,158.36,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Aguas_Lindas_de_Goias__Brazil,OK,165.19,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Aguascalientes__Mexico,OK,1543.718,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Akugba__Nigeria,PARTIAL,329.265,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Akure__Nigeria,OK,319.319,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Alaba_Kulito__Ethiopia,PARTIAL,8.199,ip-10-0-204-197,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Alagoinhas__Brazil,OK,274.931,ip-10-0-195-225,True,True,True,
