Column1;Column2;Irregular Settlement;Subdivision;;;;;;;;;;;
m1_final;mean;0,42;0,62;;;;;;;;;;;
m1_final;median;0,42;0,67;;;;;;;;;;;
m2_final;mean;0,51;0,67;;;;;;;;;;;
m2_final;median;0,61;0,79;;;;;;;;;;;
m3_final;mean;0,42;0,67;;;;;;;;;;;
m3_final;median;0,37;0,75;;;;;;;;;;;
m4_final;mean;0,11;0,19;;;;;;;;;;;
m4_final;median;0,08;0,14;;;;;;;;;;;
m5_final;mean;0,14;0,40;;;;;;;;;;;
m5_final;median;0,09;0,38;;;;;;;;;;;
m6_final;mean;0,18;0,46;;;;;;;;;;;
m6_final;median;0,13;0,49;;;;;;;;;;;
m7_final;mean;0,06;0,36;;;;;;;;;;;
m7_final;median;0,00;0,36;;;;;;;;;;;
m8_final;mean;0,54;0,67;;;;;;;;;;;
m8_final;median;0,60;0,71;;;;;;;;;;;
m9_final;mean;0,74;0,79;;;;;;;;;;;
m9_final;median;0,86;0,91;;;;;;;;;;;
k_complexity_final;mean;0,27;0,56;;;;;;;;;;;
k_complexity_final;median;0,21;0,62;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;precision;recall;f1-score;support;;;;;;;;;;82
Irregular;0.70;0.71;0.71;49;;;;;;;;;;
Subdivision;0.83;0.82;0.82;82;;;;;;;;;;
